a_b	a_c	b_d	c_d
Do you know where?	Do you know where that happened?	I don't know where that happened.	I don't know how that happened.
I'm good. And you?	I'm all right. And you?	And you, how's everything with you?	And you, how are you?
He leaned forward.	She leaned forward to look at him.	She turned around and looked at him.	She was looking at him.
Check Tom's pulse.	See what Tom is doing.	Why don't we go and see what Tom is doing?	Come and see what Tom is doing.
Yanni has regrets.	Yanni made a fateful decision.	Yanni's life was in danger.	Yanni was in deep trouble.
Those are too big.	These shoes are just way too big.	The problem is these shoes don't fit very well.	These shoes are so tight that I can't put them on.
Get up out of bed.	Get out of the house.	Go take a walk in the park.	Go outside for a walk.
Give it some time.	You've got to give it time.	Tom, you've got to give it some time.	You have to give Tom more time.
Rima got pregnant.	Rima got pregnant by Ziri.	Ziri and Rima are going to have a baby.	Ziri and Rima had a child together.
Give us some help.	We need help here.	What we need is help.	I think that we need help.
Go get some sleep.	You should go to sleep.	It'd be better to go to sleep.	I should go to sleep.
Go get some tools.	I'll get my tools.	I forgot my tools.	I brought my tools with me today.
Has Tom gone, too?	Hasn't Tom left yet?	I think that Tom still hasn't left.	Tom hasn't left yet, has he?
Here's a good one.	Here's the good one.	I like this one the most.	My favorite is this one.
Here's what to do.	That's what you need to do.	You definitely need to do that.	You need to do that.
Tom has a big dog.	Tom had a huge dog.	Tom is big-headed.	Tom was a big man.
Are you out there?	Is someone out there?	Is there anybody in there?	Is anybody in there?
Are they all nuts?	They've all gone crazy.	You've all gone mad.	The world's gone crazy.
Don't you go away.	Why don't you just go away and leave me alone?	Can you leave me alone?	Why can't you leave me alone?
Can I ask you why?	Do you want to know why?	I want to tell you why.	Don't you want to know why?
Can we start over?	Can't we start again?	Let's make a fresh start.	We need to start all over again.
Ziri looked at it.	Ziri took a look at that.	Ziri was interested.	Ziri thought about that.
Maximum overdrive.	I went over the top.	You're going overboard.	This time you went overboard.
Kiss my robot ass.	How could I be a robot? Robots can't dream.	You sound like a robot.	Tom said you sounded like a robot.
Can I have a ride?	Could you give me a ride?	Why don't you give me a ride?	Can I give you a ride?
OK, already, jeez!	Hurry up, you lot!	Don't be in a hurry!	Don't be in too much of a hurry.
Can you beat that?	I think I can beat you.	Come on, I will beat you.	Come on! I will best you.
Can you hear that?	Can't you hear it?	Can you hear them?	Can you still hear them?
We still like Tom.	I still love Tom very much.	My feelings for Tom haven't changed.	I'll never stop loving Tom.
This will be good.	This should be great.	This should be fun.	This could be fun.
Meeting adjourned.	They adjourned the meetings.	The meeting was adjourned until the following week.	The meeting was postponed until next Monday.
Can we trust them?	I don't know whether we can trust them.	I don't think they are trustworthy.	I don't completely trust them.
Can you hear them?	Are you able to hear this?	Can you hear me well enough?	Can you hear me clearly?
Ziri made a movie.	Ziri saw that movie.	Ziri saw a lot of horror movies.	Ziri wanted to watch that movie.
My bucket is full.	Fill up the bucket.	Put some sand in the bucket.	Empty the water out of the bucket.
Passports, please.	We need to renew our passports.	When does your passport need to be renewed?	I must renew my passport.
Can you feel this?	Can you feel the tension?	Can you handle the pressure?	How do you handle all of the pressure?
Slow down, please!	Slow down, everyone.	We have to slow down.	We need to move slowly.
Can I do it today?	Can't I do it tomorrow?	Can I do that today?	You can't do that tomorrow, can you?
God is omniscient.	God is all-knowledgeable.	He who knows himself knows his Lord.	He has various knowledge.
Can you trust Tom?	Are you sure you can trust Tom?	You have to trust Tom.	You'll have to trust Tom.
Stretch your legs.	Stretch your arms straight.	Swing your arm back and forth.	Lift your left arm.
I broke your dish.	Tom dropped a dish and it broke.	Who broke the dish?	Tom's glass broke when he dropped it.
Can you watch Tom?	You'd better watch Tom.	You'd better listen to Tom.	You'd better do what Tom says.
Can I pick you up?	Will you pick me up?	I need you to pick me up.	Will you come pick me up?
Stop spying on me.	Someone is spying on me.	Are you here to spy on me?	Someone's spying on me.
That's a big 10-4.	Eight plus two is ten.	Four times two is eight.	Eight divided by two is four.
If I'd only known.	If I had only known before!	Only yesterday did I know the fact.	Not until yesterday did I know the truth.
Can I borrow this?	If I promise to return this tomorrow, may I borrow this?	Can I borrow one for about two weeks?	Can I pay you back on Monday?
How can this help?	How does this help us?	Why would we need this?	Do we really need it?
Tom is big-headed.	Tom has a big head.	Tom has a large penis.	Tom has a small penis.
How can we get in?	Are you sure this is how we get in?	We have to find another way in.	We can't get through. We have to find another way.
It was Tom's wish.	What did Tom wish for?	What did Tom want you to give him?	What did Tom give to you?
We may never know.	We'll likely never know for sure.	We don't know for sure.	Nobody seems to know for certain.
I know the lyrics.	We don't know the lyrics.	We don't know what to think.	We're not sure what to do.
That's enough now!	I think that's enough for today.	That's all for today.	I think that will be all for today.
It's been so long.	It's been too long.	It's been a whole year!	It's been far too long.
Tom pretends well.	Tom was just pretending.	Tom was just pretending that he couldn't understand.	Tom is just pretending he can't understand.
It's self-evident.	The last part is self-evident.	It is obvious that he is right.	His words were proven correct.
We got real lucky.	We were actually pretty lucky.	We were extremely fortunate.	We were extremely lucky.
We made a mistake.	We made a huge mistake.	What we did earlier was a mistake.	We've made a big mistake.
We met last night.	We met a few weeks ago.	I met him a few weeks ago.	I met him three summers ago.
Ziri did his best.	Ziri did a good job there.	Ziri really did enjoy that job.	Ziri has a good job now.
Ziri is so scared.	Ziri is si terrified.	Ziri is scared of us.	Ziri is scared as hell.
It's not so cheap.	It's a bit expensive.	It isn't really all that expensive.	It seems rather expensive to me.
It was so obvious.	It was pretty obvious.	It was painfully obvious.	I thought it was pretty obvious.
We all thought so.	Everyone thinks so.	Everyone says that.	Every single person who comes here says that.
Aunt, this is Tom.	Tom is visiting his aunt.	Tom is visiting relatives.	Tom visits his grandparents.
We never use them.	Let's not use these.	I can't use any of those.	You can't use this.
We can catch them.	Catch us before they catch us.	I cannot let them catch me.	I can't let the police catch me.
We just need time.	We just need more time.	What we need is some more time.	All we need is a little more time.
It's the same one.	It's quite different from that one.	This one's different.	This one is slightly different.
We just hired Tom.	Tom was hired yesterday.	Tom just got a great job.	Tom has a good job now.
We can't stop Tom.	We have to stop Tom.	We've got to do something to stop Tom.	We need to find a way to stop Tom.
We saw them on TV.	I remember hearing about them.	Who told you about them?	Did I ever tell you about them?
It's time to rest.	I've rested enough already.	I should get some rest.	You'd better get some rest.
It's time we left.	It's about time for us to leave.	Evidently, it's time for us to leave.	I think now it's time for us to leave.
We just signed up.	I joined the team just yesterday.	I become a member today.	When did you join the team?
It's up one floor.	It's on the eighth floor.	How many floors does that building have?	This building has seven floors.
We can look it up.	We should check it out ourselves.	We should run some tests.	We haven't actually tested that.
We could fix that.	Maybe we can fix this.	Maybe we can repair it.	It might be possible to repair this.
Ready for seconds?	Would you wait a second?	Would you mind waiting a moment?	Would you please wait for a few minutes?
It made Tom happy.	It made Tom giggle.	Tom tried to make me laugh.	Tom has a funny way of laughing.
No funny business.	There's nothing funny going on.	I don't think that it's funny at all.	I don't think that it's funny.
Why the big hurry?	Why can't you hurry?	I'm not the one who's in a hurry.	I'm not in a great hurry.
Tom is a big shot.	Tom was a good shot.	Tom was my first choice.	I liked Tom right off.
It's no big thing.	It isn't a big thing.	I didn't know it was a big deal.	I didn't think that it was such a big deal.
Leave some for me.	Leave something for me, too.	I'd like you to do something for me.	I'd like for you to do something.
How is Tom anyhow?	Do you know how Tom is doing?	Is Tom doing better?	Is Tom still doing well?
I stand corrected.	I do believe you're right.	I think that I'm right.	I believe that you're right.
I can still fight.	I can teach you how to fight.	I'm going to teach you some karate.	Can you teach me to fight?
We came out ahead.	We were ahead of everybody else.	I arrived ahead of the others.	They arrived before me.
We tried them all.	We have tried everything.	They tried everything.	They've done everything they can do.
We did it already.	We've already done that.	We're already planning on doing that.	We're planning to do just that.
We adopted a baby.	We've decided to adopt a child.	We decided to start a family.	We are going to have a baby.
Sound the trumpet!	Then come the clamour and the trumpet's blare.	I hear the wind blow.	The wind is blowing hard now.
